Surface,Reaction,d_NN(top),d_NN(2nd),d_NN(bulk),EN(top),EN(2nd),Facet,ID,CO_or_CC,Eads(CH3CH2OH),N_H,Initial,Final,Er,Ea,E_TS,has_TS
Pt-Ni-Pt(111),*CH3CH2O → *CH3 + *CH2O,277,249,277,2.28,1.91,1,1,1,-0.28966,5,0.7582,1.0225,0.2643,100.0,2.4713253576648997,0
Pt-Ni-Pt(111),*CH3CHO → *CH3 + *CHO,277,249,277,2.28,1.91,1,2,1,-0.28966,4,0.7379,0.9186,0.1807,100.0,2.332012178906651,0
Pt-Ni-Pt(111),*CH2CH2O → *CH2 + *CH2O,277,249,277,2.28,1.91,1,3,1,-0.28966,4,1.3418,1.9078,0.5660000000000001,100.0,2.846130908176888,0
Pt-Ni-Pt(111),*CH2CO → *CH2 + *CO,277,249,277,2.28,1.91,1,7,1,-0.28966,2,1.3187,1.3508,0.0321,100.0,3.0567065758408862,0
Pt-Ni-Pt(111),*CH3CHO → *CH3CH + *O,277,249,277,2.28,1.91,1,9,2,-0.28966,4,0.7379,1.8388,1.101,100.0,2.699137108709409,0
Ni-Pt-Pt(111),*CH3CH2O → *CH3 + *CH2O,249,277,277,1.91,2.28,1,1,1,-0.73068,5,-1.0896,-0.8784,0.2113,100.0,0.6454539135335606,0
Ni-Pt-Pt(111),*CH2CH2O → *CH2 + *CH2O,249,277,277,1.91,2.28,1,3,1,-0.73068,4,-1.3246,-0.5288,0.7958,100.0,0.6179868290827388,0
Ni-Pt-Pt(111),*CH3CH2O → *CH3CH2 + *O,249,277,277,1.91,2.28,1,8,2,-0.73068,5,-1.0896,-1.662,-0.5723,100.0,0.5747282106265311,0
Cu-Pt-Pt(111),*CH3CH2O → *CH3 + *CH2O,256,277,277,1.9,2.28,1,1,1,-0.4957,5,-0.6443,0.7082,1.3525,100.0,1.6308402797335526,0
Cu-Pt-Pt(111),*CH3CHO → *CH3 + *CHO,256,277,277,1.9,2.28,1,2,1,-0.4957,4,0.5202,1.0561,0.5359,100.0,1.7202653169041004,0
Cu-Pt-Pt(111),*CH2CH2O → *CH2 + *CH2O,256,277,277,1.9,2.28,1,3,1,-0.4957,4,0.8809999999999999,1.7643,0.8833,100.0,2.107959615669386,0
Pt-Cu-Pt(111),*CH3CH2O → *CH3 + *CH2O,277,256,277,2.28,1.9,1,1,1,-0.24323000000000003,5,0.8740000000000001,0.9975,0.1235,100.0,2.3563318926673738,0
Pt-Cu-Pt(111),*CH3CHO → *CH3 + *CHO,277,256,277,2.28,1.9,1,2,1,-0.24323000000000003,4,0.7975,0.7737,-0.0238,100.0,2.1484654103943273,0
